Subset,Sentence,error (by experts)
train,"Está noche yo llego casa tarde , porque yo salo con mis amigos a un bar . quieremos beber y bailir , por eso no usdedes comen la cena con migo .",No
train,"Ayada me , por_favor , si no es una molestia para yo .",No
train,Me llama es Liam_Harley y estoy va a trabajo con su .,No
train,Pero la misma actriz también estaba en,No
train,"Creo que es muy logíco que su compañía me compense los perdidos , y podemos negociar las detalles de la compensación si usted tiene tiempo .",No
train,Soy fortunata porque tengo una mama brava .,No
train,Nació en Guinea en 1990 . Es el primer hijo de su familia .,No
train,"Yo estoy soltero , vivo solo y no tengo una novia , pero espero encontrar le .",No
train,"Es una maleta de color rojo ( es mi color favorito ) , tiene unos dibujos como las flores de colores diferentes ( azules , amarillos , blancos , etcètera ) .",No
train,"Soy una persona muy abierto divertido me+gusta me+gusta el futbool , nadar , escribir poiemas , y ber peliculas . muchas gracias , espero que me aceptais .",No
train,"Luego ir a el bar , está un_poco lejos de casa .",No
train,"El nombre de mi padre es Ivanildo , el tiene cincuenta_y_dos años .",No
train,"En conclusión , fumar en lugares públicos no es una buena idea para la salud de los que fuman , la salud de otras personas en el público y no es respetuoso para la gente con los niños .",No
train,"Mi padre es abogado y trabaja mucho todos los días , incluso los fines de semana porque siempre lleva trabajo para hacer en casa .",No
train,"Pero , el problema es que ni todos los huépedes pudieron detener el controle sobre su cuerpo , pues algunas almas eran muy fuertes y no permitian el domínio completo .",No
train,"Y esa mariposa les dijiste que son los niños de la profecia , porque van liberar la piedra magica por salvar este pays donde son .",No
train,Y actualmente estoy estudiando en el Instituto_Cervantes .,No
train,"Los niños fueron muy interesados en todo , porque fue su primer tiempo fuera_de la casa o el kindergarten - observaban todo con la expresión de una gran emoción y alegría .",Sí
train,"No necesita ter vistas a el mar o minibar , pero que sea un canto tranquilo .",No
train,Fue comedia pura pero no compleja .,No
train,Mi equipaje es una maleta negra grande de 32 kilogramos donde hay mi nombre y mi direccion .,No
train,Yo prefiero estas vacaciones con las de otros años porque ha pasado buenos momentos en este cuidad y creo por el proximo vacaciones viajamos en Marrakeche porque es una ciudad que tiene mucha istoria .,No
train,"Un día , mis amigos y yo fuimos en Barcelona para ver la Sagrada_Familia y no tengo palabras para describir este lugar y mi amigo José tambien .",No
train,"Durante este tiempo , no tuve ningún otro motivación para aprender español al_lado_de que sería lo que todos mis amigos están haciendo .",No
train,"Vivo en Bruselas , pero soy francès .",No
train,Se nota 2 prtogonistas principales que son Antonio_Banderas y su  esposa  .,No
train,"mi familia es solo 3 persona , me madre y me hermano y mi .",No
train,"Hola Carla , como estás ?",No
train,"Estoy segura que quiero ser una estudiante de este programa , pero todavía tengo unas preguntas sobre unos aspectos específicos .",No
train,"Yo creo que el volor de todos los ropas y el vaso , incluye los dos maletal , es mas de un_mil_quienientos dolores .",No
train,Nelly vive en Madrid y trabaja en una empreza de informatica es responsable de el servicio marketing .,No
train,Estas vacaciones están mejor que esas de el año pasado .,No
train,La cosa que me ponía nerviosa era que habia cortes de electricidad 5 veces a un mes sin infomar nos antes ni pedir pardon despues o dar rasones de el corte .,No
train,Soy casada desde 1979 y tengo 2 hijos .,Sí
train,Estoy casado tengo dos niños un hijo de trece años y una hija de hotcho anos,No
train,Es estudiante de arquitectura e es enamorada por la profisión .,No
train,Ya sabes que Galicia es muy famosa por sus platos de mariscos !,No
train,Mi hermana se llama Sisi . es pageño hermana mia .,No
train,Tengo una amiga de Andalucía y estoy siempre en contacto con ella .,No
train,"Te has casado con Marta , aquella chica guapa de quien eras novio en la facultad ? !",No
train,Como están su padre y su madre ?,No
train,"Mi amigo Rammy , hemos estado juntos desde mas que 13 años y es como un hermano y mas para mi .",No
train,Y es seguro que hablas inglés muy bien .,No
train,La pasajero fue muy maravillosa que hizo mi relajar muchísimo .,No
train,"El festivo era interesante , con los trosos de color encima_de los techos de las casitas pequeñas que eran hecho de madera .",Sí
train,Soy traductora y trabaja desde mi casa .,No
train,Mis padres son los mejores padres en el mundo !,No
train,"En Francia estudie matemáticas y biologa en la universidad hace algunos años ... , era una buena estudiante muy seriosa , y siguo a ser muy seriosa cuando empiezo algo , quiero ir a el cabo de lo que .",No
train,"Todo estaba bien , por_ejemplo , me encanta el servicio , la comida , la silla .",No
train,Estimado Señor : me llamo Mary_McCloskey y soy de Irlanda_del_Norte .,No
train,"En la primera vez me han vuelto las equipajes un mes despues cuando ya habia vuelto a el Brasil , ahora ustedes fueran más listos , las entregaron una semana despues , pero vacias .",No
train,Realmente me molesta mucho el hecho de que la agencia no esté a la altura y me dá rabia el trato que estoy recibiendo dia a dia .,No
train,"No sólo es imposible de comprender , pero no coresponde a el contrato que firmé .",No
train,"Soy periodista brasileño , vivo en Porto_Alegre , en la província de el Río_Grande_del_Sur .",No
train,"Por_favor , puedes describir más el nuevo proyecto de trabajo : Soy impatiente de empezar mi nuevo trabajo .",Sí
train,Además es padre muy bonito .,No
train,"E en fim fue conocer la España : Madrid es linda ( ya tenia ido otras veces ) , Avila , Toledo y Barcelona .",No
train,"Además , estoy muy curioso sobre quíen posiblemente sea mi profesor .",No
train,"Además , lo que me choca más es que parece imposible obtener alguna información seria .",No
train,Soy un padre de familia y tengo 3 niños .,No
train,"Me asusté que pienses que soy oportunista , pero como eramos mejor amigos , decedí pedir te este favor .",No
train,Sería muy interesante si puedo investigar la formación de el gobierno en México después_de la salida de España o la guerra contra drogas que está destruyendo mucho de las áreas rurales o matando mucha gente inocente .,No
train,Estaba todo el tiempo con mis amigos que me recibieron en su casa : Faris y Mohamed .,No
train,"Fisicamente es alto , moreno y elegante .",No
train,Fue el primer viaje de mis padres .,No
train,"Estaba viajando a Italia con mi familia para las vacaciones de verano y cuando nos lleguemos a el aeropuerto , mi equipaje no estaba allí .",No
train,"Me+llamo Me+llamo Randa_Yaghmour , soy siria , tengo 24 años y vivo en Siria .",No
train,estoy en_contra porque debemoss limitar el numbre de los fumadores sobre los jobenes .,No
train,mi correo electronico es ......,No
train,¡ Es fantastico ¡ En abril de el año pasado ve en Creta .,No
train,"Cuando yo fui a duchar se esta mañana , me olvidé mis llaves en nuestro cuarto , y la puerta está cerrada y no puedo abrir .",No
train,"Por todo esto , quería enfatizar lo de que mis intereses académicos son en_relación_con la literatura , mas_o_menos , de los siglos XIX y XX .",No
train,En_cuánto_a mi formación soy licenciado por la Universidad_Técnica .,No
train,Te fuiste siempre importante y especial para mi .,No
train,"LAUSANE estaba la más que me gustaba de todas , donde he quedado durante un mes .",Sí
train,Me llamo Mirna_AlJubeh ; yo soy Jordana y vivo en Amman en el barrio de clase media que se llama Jabal_Amman . tengo veinteocho años y estoy casada .,No
train,Me gusta pasar tiempo con el mucho porque él es muy hermoso .,No
train,"un alumno y no tengo tiempo para trabajar , mi situación es muy difícile .",No
train,Mi abula Zhoaxian_Shi es 70 años . es mui similiar con mi madre .,Sí
train,"Estoy demasiado preocupada , pues tan poco tengo como pagar este valor .",No
train,La hija menor quiere también anunciar a su familia su deseo de casar se pero el problema es que el novio Charles es negro .,No
train,"Es una maleta Samsonite de tamaño bastante grande , artículo ST123 , de color negro y tiene una tarjeta con mi nombre y con mi teléfono .",No
train,"Estoy en España a Javea , una pequeña ciudad entre Alicante y Valencia , con mi hermano , mi cuñada , mi sobina y mi sobrino .",No
train,Ira es una chica alta .,No
train,"Tengo admiración y mucho interés en conocer más sobre la lengua española , pues la influencia de ella en la lengua portuguesa , y en_consecuencia en la cultura brasileña , es fortísima .",No
train,"Comimos muy bien : pescados frescos , frutas , vino tinto y rojo que son deliciosos .",No
train,¡ Soy tan despistada !,No
train,Deje de fumar porque el médico me habia dicho que estaba mejor para el bebe y prohibe a fumar a mi marido en casa .,Sí
train,Deseo enseñar a mis hijos el museo de el Prado y también el famoso retrato Guernica de Picasso y me gustaría lojar en tu piso de Madrid si es posible .,No
train,La cosa es que quieria hacer me un interprete toda mi vida y por_supuesto sonhaba con estudiar exactamente espanhol .,No
train,El procedimiento adoptado por estas mujeres fue la huelgua de el sexo .,No
train,Porque es divertida y abierta .,No
train,"Mi equipaje es una maleta negra de tamaño medio , con cuatro ruas , que ne se puede equivocar , porque esta cobierta de banderas de diferentes paises .",No
train,"Quiero contar os sobre una persona muy famosa , se llama Penelope_Cruz y es una actriz maravillosa y muy talentida , es conocida no solo en España , sino en todo el mundo .",No
train,"Soy una persona dinámica , dispuesta a nuevos desafíos , discreta y que gusta trabajar en equipo .",No
train,"El lugar era llena con arboles y cuando caminabamos , la dirección estaba muy difícil , entonces teníamos miedo y mi prima empezaba a llorar .",Sí
train,El escenario de película fue rollo .,No
train,"Sin_embargo , si toma en cuento los datos sobre el impacto de cigarillos en la salud de un sociedad , es obvio que debe ser illegal .",No
train,"Desgraciadamente , yo no sé sistemas de educación en países latinoamericanos .",No
train,"Si fuera el alcalde de Moscou , yo constryiria muchos fuentas y zonas verdes para gente podria caminar y descansar .",No
train,"En princípio en las próximas vacaciones quiero , si posible , ir a otro país pero no sé aún cual voy a elegir , talvez New_York .",No
train,"Porque ella es mi familia , tambie'n es mi mejor amiga .",No
train,"A el llegar en casa , lo que deseo es poder relajar , duchar me y preparar la cena y eso ya no puedo más hacer , porque no sé si tendré gas y electricidad .",No
train,"La última estaba muy asustada Unos días antes su conejo murió de vejez y a el día siguiente , estuvo muy hermoso en su conejera , como si hubiera resucitado .",No
train,"Además él es una persona muy amable y muy comprehensiva , lo puedo contar tudo .",No
train,"No me gusta pescado aqui , porque es myy sal .",No
train,Fue un viaje inolvidable .,No
train,"Su padres estaban granjeros , pero el soñaba a carrera de el médico .",Sí
train,El protagonista fue un doctor que estaba haciendo tratamientos a los ratones sobre el cancer pero a estos ratones no los va bien el clima por eso mueren por el frio .,No
train,"Mi madre se llama Malika tiene 50 años , es ama de casa .",No
train,La última película que he visto se llama  Medianoche_en_París  que fue directado por Woody_Allen y tenía Owen_Wilson como pricipal actor .,No
train,Todos los diás reieron como no tuvieron las disfaculdades . estoy seguro que te gusta esta ciudad .,No
train,"Mi padre , tiene 80 años y es professora pero ahora es jubilado .",Sí
train,Hace un rato he empezado a usar los servicios de su compania y la verdad es que no estoy muy contenta con su trabajo .,No
train,La acción de respecto dependes de uno y otro pero es necesario .,No
train,"Cuando se+fueron se+fueron , fui a una tienda campré un regalo muy bonito , volví a casa rapidamente , empecé a decorar la casa y preparé una tarta deliciosa .",No
train,"Por eso , es una suerte !",No
train,Soy estudiante que estoy aprendiendo español y la cultura española en la Universisdad_de_Salamanca de España .,No
train,"Cuando fumar es inconveniente como en paises donde fumar en lugares públicos no está permitido , menos personas siguen fumar .",No
train,Pasa que estoy escrevendo te para contar te de mis vacaciones .,No
train,"Por suerte , Picard está nominado jefe de los servicios secretos de el ejército en_lugar_de un coronel y puede observar los métodos arcaicos y mal honestos de estos servicios .",No
train,Soy inglesa pero vivo en EEUU con mi marido que es estadounidense .,No
train,¿ Come es el trafico cerca de tu hotol ?,No
train,La historia es basada sobre hechos qui se pasaron en los años 2000 .,Sí
train,"Además tengo que dar mi disculpa , porque la reuñíon estará en el horario normal , y podrá molestar te mucho .",Sí
train,Es muy importante también que yo sea informada las condiciones de admisión a vuestra instituición .,No
train,"Estaba morena y delgada , tenia pelo largo risado y se vestió muy bien .",Sí
train,"No_obstante , mis vacaciones eran fantásticos .",No
train,Qué tal estás ?,No
train,Antonio es programador .,No
train,Los hechos de el argumento son que no todos quieren fumar y el fumo se pone por todos lados .,No
train,Soy rubilado ( soy profesor de matematicas ) y aprendo español desde trés meses para visitar mi hijas qué vive en Mexico_DF .,Sí
train,Es un flor que hay color verde y azul .,No
train,"No puedo dar ninguna justificacion a la costumbre de fumar , sera de manera privada o en lugares publicos : es que cada vez los fumadores crean mas riesgos a sus salud .",No
train,"Es evidente que no sea correcto dejar la situación como era antes , hace unas décadas , cuando la gente podía fumar donde se le ocurriera .",Sí
train,Soy Hanae_Sarghini y mi numero de pasaporte es M7215 .,No
train,"¿ es un verdadero pelogro inhalar un poco de nicotin ( en la cuidad , la contaminatíon esta peligrosa tabiem ) o una maniera de controlar más a la gente ?",No
train,"Y como su espíritu todavía está en la casa , su maldición sigue afectando a las personas en la que residen .",No
train,"Me llamo Leonid_Sokolov , soy propietario de el piso 4a , Moscú , calle Arbat , 37 .",No
train,"Su padre esta muerto , si yo se es un_pocco triste , perro es la vida .",No
train,"Los protagonistas son una familia - Turner - donde el padre , después_de un largo periodo en paro , logra trabajar con entrega de paquetes , pero con las peores condiciones laborales posibles .",No
train,"Regresando a el tema de la película de  Los_Girasoles_Ciegos  , es una película que trata de la vida cotidiana de una familia española durante la posguerra o mejor dicho durante la época franquista .",No
train,Estoy estudiando lengua española hace 2 años y tengo mucho gusto por la lengua y literatura española .,No
train,"conocia unos nuevos amigos que son muy simpaticos , intelegentes y honestos .",No
train,"La semana pasada , tomé un avión para volver a mi ciudad y , fui un viaje sorprendente , por eso no puedo cordar nada además_de ese viaje estos días .",No
train,"Los fumadores , Si_bien dicen que el cigarillo es muy importante para concentrar en sus trabajos , pueda causar muchas enfermedades neuróticas y pues , causa muchos tipos de cáncer que estén incurables .",No
train,Estoy grande y tengo peligrosos morenos .,Sí
train,Las tres mayores ya están casadas .,No
train,Los tres son estudiantes y viven en nuestra casa .,No
train,Soy Juan_Mata Les escribo para quejar me de el estado malo de su servicio .,No
train,Mi padre es muy nervioso intelegente simpatico y refleja mucho antes de haces cualquier cosa .,No
train,"Si compramos estas vacasiones con las vacasiones de otros años , pedo decir con seguridad que fueron las mejores .",No
train,Mis padres son mèdicos .,No
train,Algunas dicen que fumar es favorable para relajar se .,No
train,"Soy blanca , tengo el pelo negro y ondulado .",No
train,"Según mi experiencia personal , es horrible respirar el aire que está contaminado por el humo de tabaco .",No
train,"Ella empiezó un proyecto muy unpopular entre los politicos reservados , que el gol es pasar una ley en congresos para controlar las maneras de comprar pistolas .",No
train,"Acerca_de mi experiencia profesional , ahora estoy haciendo práctica en una empresa dedicada a la comunicación y publicación con los canales latinoaméricas , de_modo_que ya he practicado mucho el español .",No
train,"Cada año unos millones de personas mueren por_causa_de el cigarillo , que sean fumadores directos o indirectos .",No
train,cuando era pequino vive con mi familia en el disierto_sahara un dia fue solo en un lugar lejo de mi casa,No
train,Nunca acuerdo a alguien a fumar en lugares publicos porque no es peligroso para el mismo sino para los que no fuman y que reciban una dosis de este mal olor,No
train,"Es que no tengo dineros y quiero abrir un restaurante de pescado en el centro de la cuidad , sabes , al_lado_de  Chez_Merzouk  .",No
train,"Me llamo motaani_mustafa , marroqui de casablaca , tengo 24 anos , soy camarero en un restaurante italiano .",No
train,Yo admiro Maluma mucho porque creo que el es un chico increíble y mi deseo conocer lo .,No
train,Sé que estás estudiando en la universidad_de_Oregon pero ¿ que estás estudiando ?,No
train,"Mis interesses acadêmicos están centrados en la Historia de la lengua y de la literatura española , ya_que es muy rica y llena de ejemplos maravillosos para quien quiera desarollar sus estudios especificamente en este campo .",No
train,"El cigarillo puede ser calmante , cuando está nervioso , o algo que utiliza como herramienta para manter se delgada o con el mismo peso .",No
train,Tiene solo un hermano que es mas joven de quatro años .,No
train,"Me llamo Bernardo y he cambiado de compañia hace un mes , pero la primera factura que he recibido está mucho más alta que me habían prometido por teléfono ya_que en el acuerdo no constaba este cambio repentino .",Sí
train,En mi opinión estas méritos académicos fueron influido por mis cualidades personales .,Sí
train,Estoy muy contento aquí .,No
train,También el objetivo principal de estos cigarros electrónicos era ayudar a los fumadores y fumadoras reducir el cigarro y así ayudar los a para totalmente de fumar .,No
train,Mi padre es jardinero y mi madre no trabja,No
train,Chicas en China son muy delgado .,No
train,"La semana pasada , exactamente el domingo pasado , volví de un viaje de Malaga , el numero de el vuelo era el 5449 , a las tres_de_la_tarde , pero a el llegar , desgraciadamente no encontré mi equipaje .",No
train,"Hablando de mis méritos , quería mencionar que soy muy trabajadora , puedo concentrar y poner toda mi atención en lo que estudio .",No
train,Lo interesante de la película es que a el psicoanalista no se le ve en ningún momento .,No
train,"Y una tienda fue antigua , tuvo 300 años , todas sobre helado .",Sí
train,No era justo .,No
train,Tuvo una guapa vivió en una ciudad muy pequeña cerca de el mar . Sus padres estuvieron muertos .,No
train,"Ahora quiero saber como puedo recuperar mi maleta donde hay todo lo que me necesito para este viaje , tambinn quiero saber si hay una indemnizacion porque como es vuestra culpa logicamente tiene la obligation de compensar me .",No
train,Fumar en público es una de las cosas más peligrosas qué exísten en una ciudad .,No
train,"Todos sabemos que es mala por la salud , perso en el mismo tiempo , no es algo que las que estan adictados puede combiar facilmente , y pueden sentir muy mal si necesitan fumar y no pueden .",No
train,"No leo tanto , pero gostaria de hacer lo ; entretanto , soy grande admirador de películas .",No
train,"Fuimos a la parque antigua , es muy bonita y grande .",No
train,Y es muy divertido para debatir sobre ciencía con él .,No
train,"Ella fue producida en Estados_Unidas , Francia , Inglatera .",No
train,"Soy Po-Hsun , un turístico taiwanes .",No
train,"Tengo que poner la contraseña larguísima una y otra vez , lo que es verdaderamente una lata .",No
train,Gracias a Dios quien nos encontro fue mi hermano mayor rodrigo y todo que el hice fue hacer con que nos dos pidesemos perdón a los otros .,No
train,Estuve bonita y la comida deliciosa .,Sí
train,Ademas en este equipaje fue el dinero .,Sí
train,Visitamos el museo_del_Prado y las pinturas de Degas fueron exceptional .,No
train,"Actualmente estoy estudiante en segundo año de Idiomas Extranjeras Aplicadas en la Universidad_de_Sevilla , y quiero especificar me en los países de Latino_América .",Sí
train,"No lo admira , pero era mucha interesente .",No
train,Ahora estudio en Instituto_Cervantes de pekìn . lo que màs me gusta de mi clase es que es amable y tinen una profesora muy bien .,No
train,Son 3 personas en su familia : su madre y su padre .,No
train,Yo era despista y tenia asco que me metieran en este lugar .,No
train,"Es la causa de muchas enfermedades resperatorias , cardiovasculares , oncologicas .",No
train,- Que son las condiciones para ser admitido ?,No
train,"Driis_Beya es de Tetuan nació el 20_de_febrero_del_año_1991 , su familia formada con cinco parsonas : padre , madre dos hermanos y el .",No
train,"El guión de la película es muy bueno , describe la vida en estas zonas donde el paro es importante , los traficos y los traficantes están los jefes y los jovenes trabajan por estos hombres .",Sí
train,"Tengo dos hermanos : mi hermana mas nueva , es Ana .",No
train,"Empecé mis estudios , estuve concentrada y , cuando no esperava , un arrepio invadio mi cuerpo como una corrente electrica .",No
train,"En conclusión , creo que la prohibida de fumar en lugares públicos es una buena idea , dicha plan es el clave de el futro para mejorar el medioambiente y la salud de lós públicos .",No
train,"Fuimos a la fiesta , bebemos , bailamos , pero en el medio de la fista nuestro amigo conductor desapareció , como estabamos muy alegres y borrachos no nos ponemos nerviosos ni preocupados .",No
train,Quiero elegir el centro de nuestra ciudad para que podamos tener cita y tambièn para que sea màs còmodo para nosotros dos .,No
train,Es un question deficil para me .,No
train,"Por_otro_lado , todos estos han causado que el aire de la calle hayan sido contaminado y la gente que tiene alergía se pone peor por el humo que produce cuando uno fuma .",No
train,La puesta en escene fui perfecta y los personajes te parecen como si fueran viviendo sus vida cotidiana normal y no te dan la impression a ningun momento que estan jugando sus papeles en la pelicula .,Sí
train,"Siempre soy muy seria sobre mi educación , y esto es evidente en mis notas .",No
train,Soy muy descontenta y me veria obligada a dejar los servicios de usted .,Sí
train,Preguntaran como era nuestro país y se todas las mujeres eran como tenian visto en la tele !,No
train,"Me llamo Rosi , tengo veintidos años y soy abogada .",No
train,Es interesante tambien comer platos tipicos de el pais .,No
train,"Entonces , en mí opiníon , está bueno que fumar en lugares públicos está prohibido para fromentar el bíen estar de todos .",Sí
train,"Me encantaron los uruguayos , son personas muy amables y receptivas .",No
train,"y no puedo rechasar , porque este trabajo es mas importante para mi tesis , el trabajo sera en la empresa donde trabaja tu marido , por eso te pides de mi ayudas a hacer lo .",No
train,George6 es el padre de la reina Elizabeth .,No
train,"mi compañero se llama Fernando , es una persona muy fuerte . es más guapo en mi clase . muchos de mis compañeros le gustan .",No
train,"Desde hace 4 años estoy aprendiendo español , el segundo idioma que estudio como había sido criado en un hogar bilingüe francés / neerlandés .",No
train,"Cuando los enemigos vieron esta situación , ellos no supieron qué pasaron por es este partido , tenían miedo que ellos corrieran de_repente .",No
train,"No soy ni alta ni baja , tengo ojos azules y marròn oscuro pelo .",No
