Number,Word,Sentence,Mother tongue,Level,Error (annotation by experts)
276337,soy,"Me llamo Barbara , tengo 52 años , soy medica en un consultorio , y vivo en el centro de Lyon cerca de el parque .",Francés,A1,No
473789,ingeniera,"Otra hija se llama Pascale esta casada , vive en Lyon , tiene 3 hijos es ingeniera pero oy es ama de casa y tiene 39 años .",Francés,A1,No
352850,animales,Me gustan mucho los animales ... Estaba miembra de una asociacion de defencia de los animales .,Francés,A1,Yes
526299,nuevo,"Por_favor , puedes describir más el nuevo proyecto de trabajo : Soy impatiente de empezar mi nuevo trabajo .",Francés,A1,Yes
633658,vosotros,Estoy muy contenta encontrar vosotros+y vosotros+y espero que el trabajo sera muy agradable con vosotros .,Francés,A1,No
512534,muertos,Mi padres están muertos .,Francés,A1,No
199270,los,Soy aficionada a la comida de todos los países .,Francés,A1,No
35233,.,Soy pequeña y delgada .,Francés,A1,No
421051,Es,Es contradictorio .,Francés,A1,No
51515,.,Ella es profesora de frances .,Francés,A1,No
637674,Yo,"Yo soy Beatrice , tu nuevo companero de trabajo .",Francés,A1,No
231975,no,"Mi appellido es español , pero no lo hablo , es la appellido de me marido quien no habla este idioma tambien .",Francés,A1,No
349601,America_del_Sur,"No sé si un dia voy a utilisar este idioma , pero si Romain va a el America_del_Sur una proxima vez o si encuentra una novia española yo puedo visitar le o hablar con su novia .",Francés,A1,No
40294,.,Las dos son avogado y trabajan en la misma empresa en Malága .,Francés,A1,No
295608,un,"Soy Anna-Maria , soy un nueva companera de trabajo !",Francés,A1,No
106886,de,Soy un padre de familia y tengo 3 niños .,Francés,A1,No
614854,tres,Los tres son estudiantes y viven en nuestra casa .,Francés,A1,No
484248,liso,Soy rubia y engo pelo liso y largo .,Francés,A1,No
47005,.,Mi padre es profesor de francese .,Francés,A1,No
232161,no,Mi padre es jardinero y mi madre no trabja,Francés,A1,No
275705,soy,"Soy una persona normal , soy rubio , alta y delgado .",Francés,A1,No
307012,y,Nelly vive en Madrid y trabaja en una empreza de informatica es responsable de el servicio marketing .,Francés,A1,No
87866,a,Me llama es Liam_Harley y estoy va a trabajo con su .,Inglés,A1,No
93325,años,Mis Padres son 86 y 87 años mi hermano John 60 y mi Hermana Mary 59 .,Inglés,A1,No
14117,.,"Brian , mi hijo , es 27 años .",Inglés,A1,No
345490,Ahora,"Ahora , mi familia , no mucho dinero pero son contento de sus vidas .",Inglés,A1,Yes
165458,gusta,"No me gusta pescado aqui , porque es myy sal .",Inglés,A1,No
328554,yo,Mi mujer y yo estamos jubilados .,Inglés,A1,No
435816,estudiante,Estoy estudiante de español y trabajo con la iglesia evangelico aqui en España .,Inglés,A1,Yes
148631,en,"En este momento , estoy una voluntaria en un albuergue des animales en un barrio hispano .",Inglés,A1,Yes
152435,en,Soy inglesa pero vivo en EEUU con mi marido que es estadounidense .,Inglés,A1,No
592543,Soy,"Soy blanco , y soy menus alto .",Inglés,A1,No
321589,y,"Mi padre , tiene 80 años y es professora pero ahora es jubilado .",Inglés,A1,Yes
87304,a,"Reste mi madre a casa , es un ama de casa , y es muy ocupado !",Inglés,A1,Yes
283175,tengo,Soy fortunata porque tengo una mama brava .,Inglés,A1,No
339708,80,"Tengo uno metro y 80 cms , delante porque andando mucho , tengo pelo gris , ojos azules , estoy tipico Irlandese ,",Inglés,A1,Yes
353588,antes,Mi padre es american y el he vivido en EEUU antes .,Inglés,A1,No
200305,Me,Me encanta decir a ti que los todos son in plena forma .,Inglés,A1,Yes
420905,Es,Es una miracle .,Inglés,A1,No
363468,bosque,Soy gardia bosque .,Inglés,A1,No
307391,y,"Seán , mi otro hijo ha ido a Australia , hace tres meces , y todavia no está trabajando en una profession pero tiene un poco trabajo en algunas tiendas .",Inglés,A1,No
92187,años,"Me llame Mary , soy irlandesa , y tengo 60 años .",Inglés,A1,No
119738,de,Mi nobre es Sarah_Ludlam y yo soy su nuevo companñero de trabajo .,Inglés,A1,No
252519,porque,No me describo fisicamente porque soy timido .,Inglés,A1,No
378682,comer,Es interesante tambien comer platos tipicos de el pais .,Inglés,A1,No
174053,la,"Es la ciudad muy interesante , muy rápidamente .",Inglés,A1,No
285187,tengo,"No soy ni alta ni baja , tengo ojos azules y marròn oscuro pelo .",Inglés,A1,No
18281,.,Son muy graciosos .,Inglés,A1,No
26906,.,Yo soy projectora digitales y trabajo en ' Dom_&_Tom . ',Inglés,A1,No
16364,.,Vino y comida buena es un aficion muy importante para mí .,Inglés,A1,No
126102,de,Soy irlandesa de Dublin .,Inglés,A1,No
593478,sur,"Soy de sur de China , por eso me gusta arroz mucho .",Inglés,A1,No
476370,ir,"Está tarde e tengo que ir me , vamos organizar alguna cosa proximo fin de semana .",Portugués,A1,Yes
573426,sabes,"Mi padre , Jeova , que como tu sabes es medico , y esta sempre trabajando mucho .",Portugués,A1,No
17686,.,"Se quieres puedes acostar se , no es necesario esperar me .",Portugués,A1,No
612280,trabajando,Mí padre es abogado y está trabajando para el govierno de Chile y mí madre ya está jubilada .,Portugués,A1,No
557800,prometido,"Te estoy escribiendo para contar - te , como prometido , mis ultimas vacaciones .",Portugués,A1,No
28146,.,"Tengo dos hermanos : mi hermana mas nueva , es Ana .",Portugués,A1,No
417056,enseñanza,"Soy brasileña , de Río_de_Janeiro , estudio en Instituto_Cervantes y estoy cambiando de centro de enseñanza .",Portugués,A1,No
420596,ES,"MAME , HOY NO LLEGO A_TIEMPO PARA CENAR , NO HACE_FALTA ESPERAR ME LO CIENTO PERO ES QUE HOY ES CUMPLIAÑOS DE MARIA Y LE VAMOS A HACER UNA SURPESA EN SU DESPACHO ! ! !",Portugués,A1,No
536037,PARA,YO SOY ABOGADA Y ESTUDIO PARA UNA CONVOCATORIA .,Portugués,A1,No
375452,cincuenta_y_dos,"El nombre de mi padre es Ivanildo , el tiene cincuenta_y_dos años .",Portugués,A1,No
601548,tener,"Ella esta un_poco assustada por tener se tornado una  quarentona  , o_sea , una persona con quarenta años y que ainda está soltera .",Portugués,A1,No
310134,y,Ella es un_poco alta y muy delgada .,Portugués,A1,No
534790,padres,Estoy viviendo en Porto_Alegre con mis padres .,Portugués,A1,No
221792,muy,Soy muy activa .,Portugués,A1,No
311098,y,"Me llamo Rosi , tengo veintidos años y soy abogada .",Portugués,A1,No
215798,mi,"Bueno , esa es mi familia !",Portugués,A1,No
214784,mi,"Yo estoy muy bien , ahora vivo com mi familia , en uma casa muy confortavel , en el centro de la ciudad .",Portugués,A1,No
37306,.,Soy policía y vivo en Brasília .,Portugués,A1,No
276760,soy,Yo soy graduado en relaciones internacionales y trabajo con el comércio exterior hasta cuatro años .,Portugués,A1,No
598076,también,Soy aficionado por rock también .,Portugués,A1,No
107686,de,"Mi padre es abogado y trabaja mucho todos los días , incluso los fines de semana porque siempre lleva trabajo para hacer en casa .",Portugués,A1,No
381678,compañera,Soy su nueva compañera de trabajo .,Portugués,A1,No
52853,.,Ella es una profesora y trabaja en una universidad .,Portugués,A1,No
597,",","Estoy bién , gracias .",Portugués,A1,No
210780,mi,"Hoy me voy dicir quién son las personas de mi família , creo que tu tienes curiosidade de saber como son cada uno de elles .",Portugués,A1,No
172419,?,Como es tu familia ?,Portugués,A1,No
460253,hacer,"No leo tanto , pero gostaria de hacer lo ; entretanto , soy grande admirador de películas .",Portugués,A1,No
352649,Andalucía,Tengo una amiga de Andalucía y estoy siempre en contacto con ella .,Portugués,A1,No
313591,y,Mi abuelo es cosntructor y ma abuela trabaja en casa .,Portugués,A1,No
336387,),"Yo también tengo una hermana , Sophia , que es un ano más nova . ( yo tengo 15 ) Nos otros vivimos en un edificio blanco y azul , en el barrio_de_Boa_Viagem .",Portugués,A1,No
19772,.,La cena es en la cocina .,Ruso,A1,unsure 
19214,.,Mi padre se llama Victor y es jubilado .,Ruso,A1,Yes
44075,.,Me llamo Nailya y mi apellido es Saifulina .,Ruso,A1,No
28244,.,Me llamo Polina y tengo 16 años y soy estudiante .,Ruso,A1,No
3526,",","Estoy soltero , vivo a el lado de el metro  Oktyabrskoye_pole  .",Ruso,A1,No
226176,muy,Mi padre es muy alto y muy fuerte .,Ruso,A1,No
227,",","Me llamo Irina , soy nueva profesora de lengua ruso en la Universidad_de_Madrid .",Ruso,A1,No
276834,soy,Yo soy feliz mucho !,Ruso,A1,No
497651,marron,"Estoy alta , delgada , llevo los gafas , tengo los ojos verdes y el pelo marron .",Ruso,A1,Yes
616812,tus,Estoy tus compañero nuevo .,Ruso,A1,Yes
504167,Mis,Mis padres están jubilados .,Ruso,A1,No
252615,porque,En mi habitacion es mucho luz y es dos ventanos grandes . tengo la cama pequña y es grande problema porque no duermo bueno .,Ruso,A1,No
53286,.,"Me llamo Anna_Fedoseeva , tengo 52 años y soy programadora .",Ruso,A1,No
284617,tengo,"Yo estoy soltero , vivo solo y no tengo una novia , pero espero encontrar le .",Ruso,A1,No
435059,Estoy,Estoy de Kazajistan .,Ruso,A1,Yes
544953,persona,Soy persona deportiva y siempre voy a el gymnasia .,Ruso,A1,No
591378,Son,Son ingenieros .,Ruso,A1,No
223565,muy,Además es padre muy bonito .,Ruso,A1,No
970,",","Soy rusa , soy de Moscu .",Ruso,A1,No
136208,el,Soy una chica con el pelo moreno y los ojos verdes .,Ruso,A1,No
467768,hijos,Estoy casada pero no tengo hijos .,Ruso,A1,No
501215,mejores,Mis padres son los mejores padres en el mundo !,Ruso,A1,No
157897,en,"Es cocinero , trabaja en un restaurante quatro dias a la semana .",Ruso,A1,No
420627,Es,Es muy importante porque mi jefe me promesó la evalvacíon .,Ruso,A1,No
51293,.,Soy traductora .,Ruso,A1,No
110086,de,Mi madre es profesor de musica de niños .,Ruso,A1,No
48733,.,Soy programisto .,Ruso,A1,No
572151,rubio,Mi madre es rubio .,Ruso,A1,No
344683,agradable,Pero son amable y agradable .,Ruso,A1,No
57798,",","Está casado , tiene hija , mi sabrina Nika .",Ruso,A1,No
396541,deliciosa,Estuve bonita y la comida deliciosa .,Árabe,A2,Yes
248436,por,Comemos fuera a_veces vamos de compras y por la noche fuemos a el discoteca bailamos mocho .,Árabe,A2,No ser/estar
258509,que,Yo conozco estas muy pobre y es imposible que tu viaja ahi .,Árabe,A2,Yes
258627,que,Fueron unas vacaciones tranquilas no como las de el año pasado que fueron mas devertidos .,Árabe,A2,No
388260,cosa,Mi padre es muy nervioso intelegente simpatico y refleja mucho antes de haces cualquier cosa .,Árabe,A2,No
629028,vida,"Fuie el viaje mas divertido de mi vida , en primero lugar porque estaba con la mujer de mi vida , y en segundo lugar porque por la primera vez hablaba español de manera natural .",Árabe,A2,No
107969,de,"LAUSANE estaba la más que me gustaba de todas , donde he quedado durante un mes .",Árabe,A2,Yes
316845,y,"Mi amigo Rammy , hemos estado juntos desde mas que 13 años y es como un hermano y mas para mi .",Árabe,A2,No
37203,.,Estuve fantástico .,Árabe,A2,No
603045,tenia,"Estaba morena y delgada , tenia pelo largo risado y se vestió muy bien .",Árabe,A2,Yes
2138,",","El primero día saló en el avión de aquí de la tarde , y llegó allí a las once_y_media , luego fue a el hotel que se llama Top_Capé y tuvo que dormir porque fue muy cansada .",Árabe,A2,Yes
628141,viaje,"El verano pasado fue de viaje con mes amigos de WED_LAW , es un pueblo tiene un mar tan bonito me gostó mucho .",Árabe,A2,No
537206,parte,"si puedes confirmar me la disponibilidad de esta reservación , serías muy amble de su parte .",Árabe,A2,No
502683,mi,Me llamo fawz soy una persona que trabaja en una comania y qiero una habitacion que tiene tres habitacion para mi y mi mujer con uno baño compartido y en cada habitacion un aire acondicionado .,Árabe,A2,No
296118,una,"Mi padre se llama Hassan_M._Youssef y el trabaja como periodista y escritor , está una persona muy amable , creatívo , y inteligente , por esa razon y otros razones , lo admiro .",Árabe,A2,Yes
609007,todo,"Pues esto es todo por esta vez , espero tu respuesta .",Árabe,A2,No
266736,que,"Gabo , como le decen cariñosamente era el hijo menor de Eligio_Gabriel_Garcia , uno de los inmigrantes que llegaron a Aracataca en el decinio de el sieglo xx despues de la  fievre de el banano  .",Árabe,A2,No
145110,el,y es el mejor de el mundo en futbal,Árabe,A2,No
469004,hombre,"Gabriel era un hombre fuerte con una personalidad muy amable , gracias_a su abuelo Santiago .",Árabe,A2,No
586757,simpaticos,"conocia unos nuevos amigos que son muy simpaticos , intelegentes y honestos .",Árabe,A2,No
364445,buena,"Es buena cocinera , siempre renova sus recetas .",Árabe,A2,No
533859,padre,"Driis_Beya es de Tetuan nació el 20_de_febrero_del_año_1991 , su familia formada con cinco parsonas : padre , madre dos hermanos y el .",Árabe,A2,No
255417,que,Lo que mas me gusto fue el silencio .,Árabe,A2,No
500641,mejor,Esta viaje era mejor que otros vacaciones .,Árabe,A2,No
223663,muy,Cruzé el estrecho en el barco y fue muy bonito .,Árabe,A2,No
78167,",","A_veces , imos a el gimnasio y hacemos deporte , le gusta leer en su tiempo libre , es trabajadora y seria pero tiene un sentido de el humor , cuando sommos juntos siempre hacemos cosas locas .",Árabe,A2,Yes
392022,cuesta,"Pues , ¿ puedo saber cuanto cuesta y que son las condiciones que debo hacer para reservar y como debo hacer la reservaccion ?",Árabe,A2,No
133344,el,Zidane es una persona un_poco nerviosa como pudemos veer la fina de el mundial de el año 2006 cuando frappado el jugador de Italia .,Árabe,A2,No
392348,cuidado,"fue una persona muy tranquila , a la que le gustaban las cosas simple de la vida , tenia cuidado de su casa , sus niños , disfrutaba y cocinaba muy bien .",Árabe,A2,No
129263,el,Yo prefiero estas vacaciones con las de otros años porque ha pasado buenos momentos en este cuidad y creo por el proximo vacaciones viajamos en Marrakeche porque es una ciudad que tiene mucha istoria .,Árabe,A2,No
306545,y,Fuimos a Parque_Dianeyland y fuimos feliz .,Chino mandarín,A2,Yes
529873,ojos,Tiene los ojos negros y grandes . su nariz es alta y sexa .,Chino mandarín,A2,No
164320,gusta,2. Esta habitación lo mejor está serca de parque o estadio . porque en mi tiempo libre me gusta hacer deporte jugar a el balonecesto y correr .,Chino mandarín,A2,No
225084,muy,"mi compañero se llama Fernando , es una persona muy fuerte . es más guapo en mi clase . muchos de mis compañeros le gustan .",Chino mandarín,A2,No
589759,sociable,"Aunque fui pobre , pero tuvo confianza y sociable . comío la comida que era segura .",Chino mandarín,A2,No
617151,tuvieron,Todos los diás reieron como no tuvieron las disfaculdades . estoy seguro que te gusta esta ciudad .,Chino mandarín,A2,No
358368,año,"Hace un año , he ido a XinJiang que es muy bonito . mis padres estan allí .",Chino mandarín,A2,No
126069,de,"Me llamo yanyan , soy china , iré a Mardid para viaje de el negocio de 10_mayo_2018 a 15_mayo_2018 .",Chino mandarín,A2,No
334716,¿,¿ Come es el trafico cerca de tu hotol ?,Chino mandarín,A2,No
434277,estoy,Por eso estoy muy le admira .,Chino mandarín,A2,No
358551,año,"Es más dirvertido que el de el año pasado . el viaje de el año pasado era horrible , fui a muchos museos y catedral .",Chino mandarín,A2,No
250290,por,Soy Juan y llegará a su ciudad mañana por la tarde .,Chino mandarín,A2,No
192405,le,"Cuando era pequeño , le gustaba nadar en el mar que estaba cerca de su casa .",Chino mandarín,A2,No
487127,llamo,"Ahora aunqué no estamos juntas , la llamo por el Skype .",Chino mandarín,A2,No
437793,está,"Claro , no viajé solo mismo , viajé con mi amiga que está estudia en Dalian .",Chino mandarín,A2,No
351082,amigo,"Fui a español el año pasado con mi amigo , Pu .",Chino mandarín,A2,No
76967,",","Soy Po-Hsun , un turístico taiwanes .",Chino mandarín,A2,No
500936,mejor,"Porque ella es mi familia , tambie'n es mi mejor amiga .",Chino mandarín,A2,No
363121,bonita,"Ella es muy bonita y alta , tiene el pelo largo y los ojos grandes .",Chino mandarín,A2,No
349350,amable,"Elena era una chica amable y tuvo mucha paciencia . porque cuando tuve problema sobre clase , ella siempre me enseñó hasta entendí .",Chino mandarín,A2,No
48531,.,Fuimos la semana pasada .,Chino mandarín,A2,No
306876,y,"Y es muy intellogente , humora y amable .",Chino mandarín,A2,No
538288,pasajero,La pasajero fue muy maravillosa que hizo mi relajar muchísimo .,Chino mandarín,A2,No
241075,para,Era un buen lugar para relajar .,Chino mandarín,A2,No
363149,bonita,"Fuimos a la parque antigua , es muy bonita y grande .",Chino mandarín,A2,No
51101,.,Nos somos 4 .,Chino mandarín,A2,No
419901,era,"Su familia era muy pobre cuando era niño , no tenía mucho dinero para estudiar .",Chino mandarín,A2,No
21096,.,Porque es divertida y abierta .,Chino mandarín,A2,No
8500,",","Mi teléfono numero son 98726263 , si tiene la habitacion me gusta , por_favor contacte me con E-mail o teléfono .",Chino mandarín,A2,No
516915,Nació,Nació el 18_de_enero_de_1990 . Ella es capriconia .,Chino mandarín,A2,No
500726,mejor,Estas vacaciones están mejor que esas de el año pasado .,Francés,A2,No
16890,.,Regreso de vacaciones donde fui con Fabienne .,Francés,A2,No ser/estar
581415,semanas,Fui de vacaciones hace dos semanas .,Francés,A2,No
480799,Le,Le gusta las cosas cara y no tiene afecciones por los seres hupmanos sino por el dinero .,Francés,A2,No ser/estar
526001,Nueva_York,¡ Fuimos a Nueva_York !,Francés,A2,No ser/estar
467051,hija,"Mis amigos los muy importantes fueron en Paris , tambien mi hija y su marido .",Francés,A2,Yes
523534,nos,Cuando soy con ella reimos casi todo el tiempo y cuando hay una casualidad nos encontramos .,Francés,A2,Yes
596934,tambien,"Este viaje estuve muy bien y en el proxima viaje voy a ir a españa tambien pero voy a combiar la ciudad , normalement boy a ir a Madrid",Francés,A2,No
11555,.,"Apreciaba el arte , la musica y la cultura y fue una protagonista de la vida cultural de los Estados_Unidos .",Francés,A2,No
6319,",","Por eso , es una suerte !",Francés,A2,No
3996,",","Tiene 30 años , lleva el pelo largo , está morena y tiene los ojos marones .",Francés,A2,Yes
115281,de,Tiene un año mas de mi y es francesa .,Francés,A2,No
50234,.,Tiene solo un hermano que es mas joven de quatro años .,Francés,A2,No
143465,el,¡ Es fantastico ¡ En abril de el año pasado ve en Creta .,Francés,A2,No
361567,bien,"Comimos muy bien : pescados frescos , frutas , vino tinto y rojo que son deliciosos .",Francés,A2,No
512519,muerto,"Su padre esta muerto , si yo se es un_pocco triste , perro es la vida .",Francés,A2,No
77839,",","Sin_embargo no tentava seducir a nadie , era mismo de carater dificil .",Francés,A2,No
126305,de,El mare estaba muy precioso con un color azul unica y la temperatura de ell ´ agua estaba siempre sobre los 25 .,Francés,A2,No
520861,No,"No lo admira , pero era mucha interesente .",Francés,A2,No
404452,donde,Este viaje es mucho mejor que el ano pasado en Londra donde llovio todo el tiempo y donde la comida no me gusto !,Francés,A2,No
26524,.,La ciudad es bellisima .,Francés,A2,No
120564,de,Nació en Guinea en 1990 . Es el primer hijo de su familia .,Francés,A2,No
368877,:,Estaba todo el tiempo con mis amigos que me recibieron en su casa : Faris y Mohamed .,Francés,A2,No
30785,.,Visitamos el museo_del_Prado y las pinturas de Degas fueron exceptional .,Francés,A2,No
23949,.,Ahora estoy en españa en mi segundo eramus .,Francés,A2,No
312066,y,Fue en Coruña y Baiona .,Francés,A2,Yes
409297,edad,Esta persona es el primo de mi esposa que tiene lo mismo edad cómo yo .,Francés,A2,No
92859,años,"Queremos una habitación para tres personas porque somos dos adultos y una niña de 6 años , con baño coñpartodo , aire conditionado y vista a el mar .",Francés,A2,No
347512,Alicante,"Estoy en España a Javea , una pequeña ciudad entre Alicante y Valencia , con mi hermano , mi cuñada , mi sobina y mi sobrino .",Francés,A2,No
223517,muy,Es muy activa .,Francés,A2,No
444204,Fue,Fue muy delicioso !,Inglés,A2,Yes
20935,.,"Ella siempre estaba feliz , siempre contaba chistos , y siempre sonría .",Inglés,A2,No
151274,en,"Manana , somos ir una barca en el mar . Esperanza que estas aqui con nosotros , pero tengo muchas las photografias para ti cuando regresamos .",Inglés,A2,No
30832,.,Simplamente fue para relajar y esquiar .,Inglés,A2,No
169300,?,¿ Que son la disponibilidad para fechas concretas ?,Inglés,A2,No
552657,practicar,"Eithne , mi esposa era muy contenta porque habla espnaol y era posible practicar mucho con la gente .",Inglés,A2,Yes
217846,mis,"No_obstante , mis vacaciones eran fantásticos .",Inglés,A2,No
141918,el,"Mi vacacione ultímo fue en el verano este año , visite mí madre y mís amigos en el estado donde nací , Colorado .",Inglés,A2,No
34049,.,espero que eres bien .,Inglés,A2,Yes
511914,muchos,Por la mayoria de el tiempo quede in las hoteles y la gente estaban muy amable y come muchos comidas de cada region .,Inglés,A2,Yes
467944,hijos,Visto la mayoria de los paises co mis hijos cuando fueron jovenes .,Inglés,A2,No
341429,abuelo,"Mi abuelo para 5 años no podía hacer nada , el fue un fuerte hombre que era 5'11 .",Inglés,A2,No
308823,y,"Se llama Jennifer y ella nació en Seattle , un lugar donde ella vivía cuando era niña .",Inglés,A2,No
8117,",","En princípio en las próximas vacaciones quiero , si posible , ir a otro país pero no sé aún cual voy a elegir , talvez New_York .",Inglés,A2,No
