Ser,Estar,rigth sentence,original verb
"también disfruto con la idea de que hay paredes creativas y creadoras : “ porque las mujeres han sido sentadas ahí dentro, todos esos millones de años","también disfruto con la idea de que hay paredes creativas y creadoras: “porque las mujeres han estado sentadas ahí dentro, todos esos millones de años",[Both],estar
ahora las paredes son impregnadas de su fuerza creadora ”,ahora las paredes están impregnadas de su fuerza creadora”,[Both],estar
" centros y servicios con los que cuenta en toda españa, se recuerda que muchas personas con discapacidad intelectual o del desarrollo que viven en residencias son cayendo en estados emocionales de apatía y tristeza"," centros y servicios con los que cuenta en toda españa, se recuerda que muchas personas con discapacidad intelectual o del desarrollo que viven en residencias están cayendo en estados emocionales de apatía y tristeza",['Estar'],estar
"desde plena inclusión canarias, su presidenta, carmen laucirica, resume la situación : “ se es penalizando a las personas con discapacidad de las residencias por el modelo de recurso en el que residen, cuando ni siquiera eligieron vivir allí","desde plena inclusión canarias, su presidenta, carmen laucirica, resume la situación: “se está penalizando a las personas con discapacidad de las residencias por el modelo de recurso en el que residen, cuando ni siquiera eligieron vivir allí",['Estar'],estar
"en murcia y en canarias se ha vacunado o es en fase de vacunación la práctica totalidad de las personas consideradas como grandes dependientes, que según la estrategia estatal de vacunación pertenecen al grupo iv","en murcia y en canarias se ha vacunado o está en fase de vacunación la práctica totalidad de las personas consideradas como grandes dependientes, que según la estrategia estatal de vacunación pertenecen al grupo iv",['Estar'],estar
"las sesiones tratarán de buenas prácticas relacionadas con la reducción de restricciones a personas con conductas desafiantes, un tema de gran actualidad dado el auge del movimiento social que demanda un mayor respeto de los derechos de las personas con grandes necesidades de apoyo que son en residencias","las sesiones tratarán de buenas prácticas relacionadas con la reducción de restricciones a personas con conductas desafiantes, un tema de gran actualidad dado el auge del movimiento social que demanda un mayor respeto de los derechos de las personas con grandes necesidades de apoyo que están en residencias",['Estar'],estar
todo el encuentro es diseñado para garantizar la participación igualitaria de las personas con discapacidad,todo el encuentro está diseñado para garantizar la participación igualitaria de las personas con discapacidad,[Both],estar
"tal y como ha explicado galán durante el encuentro, estas iniciativas sociales que se son realizando en españa con el apoyo de iberdrola “ van a beneficiar a unas 25","tal y como ha explicado galán durante el encuentro, estas iniciativas sociales que se están realizando en españa con el apoyo de iberdrola “van a beneficiar a unas 25",['Estar'],estar
"compartimos los mismos valores : el valor de que en el centro de todo nuestro trabajo son las personas y sus familias ""","compartimos los mismos valores: el valor de que en el centro de todo nuestro trabajo están las personas y sus familias""",['Estar'],estar
"plena inclusión fue presente en el xv congreso nacional de bioética que se celebró del 4-6 de noviembre en vitoria, con el título de bioética y cuidados en tiempos de pandemia","plena inclusión estuvo presente en el xv congreso nacional de bioética que se celebró del 4-6 de noviembre en vitoria, con el título de bioética y cuidados en tiempos de pandemia",['Estar'],estar
"el proyecto ‘ mi casa, una vida en comunidad ’, financiado por la unión europea y patrocinado por el gobierno español dentro del plan de recuperación y resiliencia y la estrategia estatal de desinstitucionalización, es validando nuevas soluciones de apoyo que promueven la vida independiente, la inclusión comunitaria y la contribución social de las personas con discapacidad intelectual y del desarrollo","el proyecto ‘mi casa, una vida en comunidad’, financiado por la unión europea y patrocinado por el gobierno español dentro del plan de recuperación y resiliencia y la estrategia estatal de desinstitucionalización, está validando nuevas soluciones de apoyo que promueven la vida independiente, la inclusión comunitaria y la contribución social de las personas con discapacidad intelectual y del desarrollo",['Estar'],estar
" suponía una liberación y un descanso, un ser en otro ambiente ” cuenta pedro garcía, residente de apadis"," suponía una liberación y un descanso, un estar en otro ambiente” cuenta pedro garcía, residente de apadis",['Estar'],estar
"somos viendo personas tristes, desmotivadas y apáticas ”, añade ana carratalá, presidenta del comité de ética de plena inclusión españa","estamos viendo personas tristes, desmotivadas y apáticas”, añade ana carratalá, presidenta del comité de ética de plena inclusión españa",['Estar'],estar
en la del 21 de febrero es prevista la intervención de personas expertas de la universidad ramón llull y de la universidad católica de valencia nos contarán sus experiencias sobre calidad de vida familiar y enfoque centrado en la familia,en la del 21 de febrero está prevista la intervención de personas expertas de la universidad ramón llull y de la universidad católica de valencia nos contarán sus experiencias sobre calidad de vida familiar y enfoque centrado en la familia,[Both],estar
"además, el protocolo garantiza la participación de profesionales de plena inclusión en las reuniones del equipo técnico de los diferentes centros penitenciarios cuando traten asuntos relacionados a los y las internas que sean atendidos dentro de nuestro programa","además, el protocolo garantiza la participación de profesionales de plena inclusión en las reuniones del equipo técnico de los diferentes centros penitenciarios cuando traten asuntos relacionados a los y las internas que estén atendidos dentro de nuestro programa",[Both],estar
"recuerda que en la residencia donde era hasta hace apenas unos meses comían uvas el 31 de diciembre, “ porque las compraban las cuidadoras ”","recuerda que en la residencia donde estaba hasta hace apenas unos meses comían uvas el 31 de diciembre, “porque las compraban las cuidadoras”",['Estar'],estar
"este encuentro es organizado por plena inclusión españa y feaps andalucía, con la colaboración de la universidad de córdoba, la entidad aprosub y el patrocinio de fundación once y santander","este encuentro está organizado por plena inclusión españa y feaps andalucía, con la colaboración de la universidad de córdoba, la entidad aprosub y el patrocinio de fundación once y santander",[Both],estar
"el congreso internacional de accesibilidad cognitiva, que es organizado por el ceacog, con la colaboración de plena inclusión españa y plena inclusión extremadura, cuenta con el patrocinio de la unión europea a través de los fondos next generation y del plan de recuperación, transformación y resiliencia del ministerio de derechos sociales y agenda 2030, la recaudación del 0,7% del irpf, el apoyo de fundación once, la diputación de badajoz, diputación de cáceres, la consejería de sanidad y políticas sociales de la junta de extremadura e ibercaja","el congreso internacional de accesibilidad cognitiva, que está organizado por el ceacog, con la colaboración de plena inclusión españa y plena inclusión extremadura, cuenta con el patrocinio de la unión europea a través de los fondos next generation y del plan de recuperación, transformación y resiliencia del ministerio de derechos sociales y agenda 2030, la recaudación del 0,7% del irpf, el apoyo de fundación once, la diputación de badajoz, diputación de cáceres, la consejería de sanidad y políticas sociales de la junta de extremadura e ibercaja",[Both],estar
"en el acto de inauguración es prevista la asistencia el presidente de la diputación de cáceres, carlos carlos rodríguez, y el presidente de la diputación provincial de badajoz, miguel ángel gallardo miranda, entre otras autoridades","en el acto de inauguración está prevista la asistencia el presidente de la diputación de cáceres, carlos carlos rodríguez, y el presidente de la diputación provincial de badajoz, miguel ángel gallardo miranda, entre otras autoridades",['Estar'],estar
"las familias con hijos con discapacidad somos asumiendo su atención las 24 horas los 7 días de la semana y eso puede generar una importante sobrecarga, además de las otras preocupaciones que podamos tener ( por nuestra situación laboral, o económica o por la salud, incluso el dolor de haber perdido a alguien durante el confinamiento )","las familias con hijos con discapacidad estamos asumiendo su atención las 24 horas los 7 días de la semana y eso puede generar una importante sobrecarga, además de las otras preocupaciones que podamos tener (por nuestra situación laboral, o económica o por la salud, incluso el dolor de haber perdido a alguien durante el confinamiento)",['Estar'],estar
"la importancia del informe en una serie de artículos, plena inclusión es difundiendo poco a poco las preocupaciones y las recomendaciones que vieron la luz en abril de 2019","la importancia del informe en una serie de artículos, plena inclusión está difundiendo poco a poco las preocupaciones y las recomendaciones que vieron la luz en abril de 2019",['Estar'],estar
"españa ratificó en 2008 esta convención y, al tratarse de un tratado internacional, es obligada a cumplirla y considerarla en su legislación como de mayor rango que las leyes estatales y autonómicas","españa ratificó en 2008 esta convención y, al tratarse de un tratado internacional, está obligada a cumplirla y considerarla en su legislación como de mayor rango que las leyes estatales y autonómicas",['Estar'],estar
"castilla-la mancha asprona ha creado también una programación de ocio durante la cuarentena en la que han participado profesionales de ocio, personas voluntarias y personas con discapacidad y que, además, es dirigida a todas y todos","castilla-la mancha asprona ha creado también una programación de ocio durante la cuarentena en la que han participado profesionales de ocio, personas voluntarias y personas con discapacidad y que, además, está dirigida a todas y todos",[Both],estar
también son preparando un vídeo con mensajes de ánimo y preparan actividades online que dinamizará el voluntariado,también están preparando un vídeo con mensajes de ánimo y preparan actividades online que dinamizará el voluntariado,['Estar'],estar
"además, han creado una red de apoyo entre iguales : personas con discapacidad voluntarias que apoyan a otras que lo son pasando mal","además, han creado una red de apoyo entre iguales: personas con discapacidad voluntarias que apoyan a otras que lo están pasando mal",['Estar'],estar
"la directriz de la jec autorizaba a interventores o miembros de mesas para reseñar en el acta de la sesión el dni de las personas con discapacidad que desde su interpretación no fueran ejerciendo su derecho al voto de forma libre, consciente y voluntaria","la directriz de la jec autorizaba a interventores o miembros de mesas para reseñar en el acta de la sesión el dni de las personas con discapacidad que desde su interpretación no estuvieran ejerciendo su derecho al voto de forma libre, consciente y voluntaria",['Estar'],estar
"de hecho, en las dos recientes citas electorales ( 28 de abril y 26 de mayo ) no se registró en todo el estado ni un solo ‘ incidente ’ ligado a personas con discapacidad intelectual que fueran ejerciendo su derecho al voto","de hecho, en las dos recientes citas electorales (28 de abril y 26 de mayo) no se registró en todo el estado ni un solo ‘incidente’ ligado a personas con discapacidad intelectual que estuvieran ejerciendo su derecho al voto",['Estar'],estar
"lo hacemos a través de la "" lectura fácil "", una metodología de redacción y composición de textos que facilita esta comprensión, y que ya se es utilizando por las organizaciones de personas con discapacidad, bibliotecas, clubes de lectura y algunas editoriales especializadas","lo hacemos a través de la ""lectura fácil"", una metodología de redacción y composición de textos que facilita esta comprensión, y que ya se está utilizando por las organizaciones de personas con discapacidad, bibliotecas, clubes de lectura y algunas editoriales especializadas",['Estar'],estar
"garantizar derechos frente a la vulnerabilidad “ muchos de estos derechos, recogidos en la convención de naciones unidas de derechos de las personas con discapacidad, no son garantizados todavía en españa para cientos de miles de personas con discapacidad intelectual y del desarrollo y sus familias, un grupo humano especialmente vulnerable ”, añade carmen laucirica, presidenta de plena inclusión españa","garantizar derechos frente a la vulnerabilidad “muchos de estos derechos, recogidos en la convención de naciones unidas de derechos de las personas con discapacidad, no están garantizados todavía en españa para cientos de miles de personas con discapacidad intelectual y del desarrollo y sus familias, un grupo humano especialmente vulnerable”, añade carmen laucirica, presidenta de plena inclusión españa",[Both],estar
el programa completo del congreso es disponible en la web del ceacog : www,el programa completo del congreso está disponible en la web del ceacog: www,['Estar'],estar
es dirigido especialmente a abogados para ofrecerles un argumentario al que acogerse a la hora de demandar este tipo de acceso para el colectivo,está dirigido especialmente a abogados para ofrecerles un argumentario al que acogerse a la hora de demandar este tipo de acceso para el colectivo,[Both],estar
"este informe se basa en la detección de ciertas lagunas en la aplicación de la citada ley que, como ha descrito la presidenta de plena inclusión, carmen laucirica, durante la presentación : “ es teniendo unos efectos que suponen un retroceso en derechos adquiridos por las personas con discapacidad intelectual y del desarrollo, que les dejan en situaciones de indefensión ”","este informe se basa en la detección de ciertas lagunas en la aplicación de la citada ley que, como ha descrito la presidenta de plena inclusión, carmen laucirica, durante la presentación: “está teniendo unos efectos que suponen un retroceso en derechos adquiridos por las personas con discapacidad intelectual y del desarrollo, que les dejan en situaciones de indefensión”",['Estar'],estar
"el documento, elaborado por la entidad gentium a instancias de plena inclusión, es dirigido a profesionales del derecho ( especialmente a abogados y abogadas ) y pretende facilitar la defensa de los derechos de las personas con discapacidad intelectual y del desarrollo a través del asesoramiento jurídico y la litigación","el documento, elaborado por la entidad gentium a instancias de plena inclusión, está dirigido a profesionales del derecho (especialmente a abogados y abogadas) y pretende facilitar la defensa de los derechos de las personas con discapacidad intelectual y del desarrollo a través del asesoramiento jurídico y la litigación",[Both],estar
"para ello ofrece un recorrido por las principales lagunas y conflictos normativos que es provocando la interpretación de la ley 8/2021 por parte de diferentes organismos, y sus consecuencias en el ámbito tributario ( pérdida de beneficios fiscales ), de la seguridad social ( pérdida de prestaciones ), financiero ( dificultades en el acceso y contratación de productos bancarios ), laboral ( pérdidas de derechos de trabajadores y trabajadoras en convenios colectivos ), así como jurídico ( falta de acceso al beneficio de la asistencia jurídica gratuita en los expedientes de jurisdicción voluntaria )","para ello ofrece un recorrido por las principales lagunas y conflictos normativos que está provocando la interpretación de la ley 8/2021 por parte de diferentes organismos, y sus consecuencias en el ámbito tributario (pérdida de beneficios fiscales), de la seguridad social (pérdida de prestaciones), financiero (dificultades en el acceso y contratación de productos bancarios), laboral (pérdidas de derechos de trabajadores y trabajadoras en convenios colectivos), así como jurídico (falta de acceso al beneficio de la asistencia jurídica gratuita en los expedientes de jurisdicción voluntaria)",['Estar'],estar
ambos enlaces son disponibles al final de esta noticia,ambos enlaces están disponibles al final de esta noticia,['Estar'],estar
las bases completas de la convocatoria figuran en la página web del ministerio ( el enlace es al final de la noticia ),las bases completas de la convocatoria figuran en la página web del ministerio (el enlace está al final de la noticia),['Estar'],estar
"entre las excepciones que se señalan son las personas que presenten algún tipo de dificultad respiratoria, las que tengan motivos de salud debidamente justificados o aquellas que por su situación de discapacidad o dependencia presenten alteraciones de conducta que lo hagan inviable","entre las excepciones que se señalan están las personas que presenten algún tipo de dificultad respiratoria, las que tengan motivos de salud debidamente justificados o aquellas que por su situación de discapacidad o dependencia presenten alteraciones de conducta que lo hagan inviable",['Estar'],estar
"el equipo promotor será formado por las federaciones de andalucía, cataluña y madrid y la propia confederación","el equipo promotor estará formado por las federaciones de andalucía, cataluña y madrid y la propia confederación",[Both],estar
"el observatorio, que en su manifiesto se ha inspirado en las palabras pronunciadas por teresa revilla en el congreso con motivo del debate del artículo 14 de la constitución, explica que “ no queremos ser mirando al pasado con enfado","el observatorio, que en su manifiesto se ha inspirado en las palabras pronunciadas por teresa revilla en el congreso con motivo del debate del artículo 14 de la constitución, explica que “no queremos estar mirando al pasado con enfado",['Estar'],estar
"la campaña, que parte de la idea propuesta por naciones unidas para que la denuncia de estos hechos vaya más allá de 25 de noviembre, se ha sido repitiendo los 25 de cada mes","la campaña, que parte de la idea propuesta por naciones unidas para que la denuncia de estos hechos vaya más allá de 25 de noviembre, se ha estado repitiendo los 25 de cada mes",['Estar'],estar
"la investigación sobre la salud de las personas con discapacidad intelectual o del desarrollo ofrece sobradas evidencias para afirmar que estas personas tienen peor salud que la población sin discapacidad intelectual, una menor esperanza de vida y, además, que esto no tiene una relación directa con los problemas de salud asociados a su discapacidad ; esto quiere decir que hay factores externos que son haciendo que estas personas presenten una menor salud y tengan una menor esperanza de vida por el hecho de tener una discapacidad intelectual o del desarrollo","la investigación sobre la salud de las personas con discapacidad intelectual o del desarrollo ofrece sobradas evidencias para afirmar que estas personas tienen peor salud que la población sin discapacidad intelectual, una menor esperanza de vida y, además, que esto no tiene una relación directa con los problemas de salud asociados a su discapacidad; esto quiere decir que hay factores externos que están haciendo que estas personas presenten una menor salud y tengan una menor esperanza de vida por el hecho de tener una discapacidad intelectual o del desarrollo",['Estar'],estar
"en este tiempo en el que se es evidenciando el que los profesionales del ámbito de la salud tienen la mejor de las disposiciones que se pudiera soñar para desempeñar su profesión, aun a riesgo de sus propias vidas y las de sus familias, nos parece fundamental reclamar que se haga un esfuerzo por invertir en la formación de estos profesionales, así como en equipamientos adaptados, ya que en muchos casos puede que no cuenten con las herramientas adecuadas ; por ejemplo, una herramienta tan sencilla como un pasaporte sanitario, podría hacer que las mujeres con discapacidad intelectual o del desarrollo y mayores necesidades de apoyo, pudieran comunicar, como prefieren que se realice su exploración ginecológica","en este tiempo en el que se está evidenciando el que los profesionales del ámbito de la salud tienen la mejor de las disposiciones que se pudiera soñar para desempeñar su profesión, aun a riesgo de sus propias vidas y las de sus familias, nos parece fundamental reclamar que se haga un esfuerzo por invertir en la formación de estos profesionales, así como en equipamientos adaptados, ya que en muchos casos puede que no cuenten con las herramientas adecuadas; por ejemplo, una herramienta tan sencilla como un pasaporte sanitario, podría hacer que las mujeres con discapacidad intelectual o del desarrollo y mayores necesidades de apoyo, pudieran comunicar, como prefieren que se realice su exploración ginecológica",['Estar'],estar
"desde 2011, las administraciones públicas son obligadas por ley a reservar un 2% de sus nuevos puestos de trabajo para estas personas","desde 2011, las administraciones públicas están obligadas por ley a reservar un 2% de sus nuevos puestos de trabajo para estas personas",[Both],estar
"plena inclusión la rioja ha editado, con el apoyo de ofesauto, una colección de tres guías en lectura fácil que bajo el título ‘ si entiendo bien, soy más seguro ’, recoge todos los detalles que los conductores deben conocer sobre el seguro obligatorio del automóvil ( soa )","plena inclusión la rioja ha editado, con el apoyo de ofesauto, una colección de tres guías en lectura fácil que bajo el título ‘si entiendo bien, estoy más seguro’, recoge todos los detalles que los conductores deben conocer sobre el seguro obligatorio del automóvil (soa)",[Both],estar
"puede que esta innovación suene a moda, sin embargo, es íntimamente ligado con la ética","puede que esta innovación suene a moda, sin embargo, está íntimamente ligado con la ética",[Both],estar
"pueden sonar a moda esas nuevas metodologías como el apoyo activo o el apoyo conductual positivo, sin embargo, debajo de toda esa novedad son la inclusión y un cambio de valores profundo","pueden sonar a moda esas nuevas metodologías como el apoyo activo o el apoyo conductual positivo, sin embargo, debajo de toda esa novedad están la inclusión y un cambio de valores profundo",['Ser'],estar
"con la renovación de este distintivo, plena inclusión es autorizada a poder seguir usando el sello ong acreditada durante dos años más y darle visibilidad en sus canales de comunicación, como su página web, o en sus materiales de captación de fondos","con la renovación de este distintivo, plena inclusión está autorizada a poder seguir usando el sello ong acreditada durante dos años más y darle visibilidad en sus canales de comunicación, como su página web, o en sus materiales de captación de fondos",[Both],estar
"desde su proyecto estratégico de acceso a la justicia, plena inclusión es ofreciendo formación a abogados y otros agentes jurídicos, sensibilizando e implicándoles en aquellos aspectos clave para hacer efectivo este derecho","desde su proyecto estratégico de acceso a la justicia, plena inclusión está ofreciendo formación a abogados y otros agentes jurídicos, sensibilizando e implicándoles en aquellos aspectos clave para hacer efectivo este derecho",['Estar'],estar
se trata de otro formato innovador que es promoviendo plena inclusión para poder hacer el llegar el conocimiento a personas que residen en lugares apartados o que tienen dificultades para viajar,se trata de otro formato innovador que está promoviendo plena inclusión para poder hacer el llegar el conocimiento a personas que residen en lugares apartados o que tienen dificultades para viajar,['Estar'],estar
"tras la aprobación definitva ayer en el senado de la reforma de la ley electoral ( loreg ), plena inclusión ha lanzado un comunicado dirigido a las personas con discapacidad intelectual o del desarrollo que son incapacitadas, con información accesible sobre el trámite parlamentario, la próxima publicación en el boe de la citada reforma, y los pasos a seguir para poder votar en las próximas elecciones autonómicas, municipales y europeas","tras la aprobación definitva ayer en el senado de la reforma de la ley electoral (loreg), plena inclusión ha lanzado un comunicado dirigido a las personas con discapacidad intelectual o del desarrollo que están incapacitadas, con información accesible sobre el trámite parlamentario, la próxima publicación en el boe de la citada reforma, y los pasos a seguir para poder votar en las próximas elecciones autonómicas, municipales y europeas",['Estar'],estar
"el sistema incluye una guía de instalación en lectura fácil y, además, las federaciones de plena inclusión son asesorando sobre su instalación a diferentes juntas electorales de zona","el sistema incluye una guía de instalación en lectura fácil y, además, las federaciones de plena inclusión están asesorando sobre su instalación a diferentes juntas electorales de zona",['Estar'],estar
el plazo de inscripción es abierto hasta el lunes 8 de febrero,el plazo de inscripción está abierto hasta el lunes 8 de febrero,[Both],estar
el aula virtual sobre sexualidad y discapacidad es dirigida a profesionales del ámbito de la discapacidad intelectual y de los trastornos del desarrollo con al menos dos años de experiencia y la posibilidad de implementar lo aprendido en su organización o ámbito laboral,el aula virtual sobre sexualidad y discapacidad está dirigida a profesionales del ámbito de la discapacidad intelectual y de los trastornos del desarrollo con al menos dos años de experiencia y la posibilidad de implementar lo aprendido en su organización o ámbito laboral,[Both],estar
"hay que fomentar una cultura de vida independiente, que dichas políticas públicas de los cuidados se fundamenten en este enfoque de vida independiente y que desde posicionamientos feministas replanteen el concepto de cuidados a fin de poner en reconocimiento que algunos de estos grupos, cuando viven en sus casas, porque no tienen posibilidad de una independencia, son realizando una serie de tareas de cuidados no reconocidos por nadie, ni si quiera por el propio movimiento feminista","hay que fomentar una cultura de vida independiente, que dichas políticas públicas de los cuidados se fundamenten en este enfoque de vida independiente y que desde posicionamientos feministas replanteen el concepto de cuidados a fin de poner en reconocimiento que algunos de estos grupos, cuando viven en sus casas, porque no tienen posibilidad de una independencia, están realizando una serie de tareas de cuidados no reconocidos por nadie, ni si quiera por el propio movimiento feminista",['Estar'],estar
la defensa de sus derechos es en juego y no podemos permitir que pierdan la partida,la defensa de sus derechos está en juego y no podemos permitir que pierdan la partida,['Estar'],estar
intenta que no se note que eres ”,intenta que no se note que estás”,[Both],estar
"en 2016, las entidades gestoras crearon dos casos de referencia cada una, las entidades promotoras los probaron y la asociadas, que son formándose y realizando las primeras pruebas, se beneficiarán de todo este conocimiento","en 2016, las entidades gestoras crearon dos casos de referencia cada una, las entidades promotoras los probaron y la asociadas, que están formándose y realizando las primeras pruebas, se beneficiarán de todo este conocimiento",['Estar'],estar
"en ella tienes más datos, gráficos, un mapa de dónde son las entidades o una línea temporal con los principales hitos del proyecto este curso","en ella tienes más datos, gráficos, un mapa de dónde están las entidades o una línea temporal con los principales hitos del proyecto este curso",['Ser'],estar
"en su desarrollo, además de presentar el documento de plena inclusión, se compartieron propuestas que ya se son llevando a cabo por toda la geografía española","en su desarrollo, además de presentar el documento de plena inclusión, se compartieron propuestas que ya se están llevando a cabo por toda la geografía española",['Estar'],estar
"yolis ( soria ) fundación tutelar futudís actualmente ylois se es formando en informática básica y mecanografía, con el objetivo de encontrar un puesto de trabajo","yolis (soria) fundación tutelar futudís actualmente ylois se está formando en informática básica y mecanografía, con el objetivo de encontrar un puesto de trabajo",['Estar'],estar
"bartolo ( guadix, granada ) fundación tutelar futuro bartolo, desde que tiene su smartphone, es mucho más cerca de las personas que le quieres, habla con ellas en el momento que le apetece, sin tener que depender de nadie","bartolo (guadix, granada) fundación tutelar futuro bartolo, desde que tiene su smartphone, está mucho más cerca de las personas que le quieres, habla con ellas en el momento que le apetece, sin tener que depender de nadie",['Estar'],estar
"raquel, también es en contacto con sus hermanos a través de skype, reforzando su vínculo emocional","raquel, también está en contacto con sus hermanos a través de skype, reforzando su vínculo emocional",['Estar'],estar
"este seminario es organizado por la plataforma por la gestión policial de la diversidad, se dirige a la multiplicidad de profesionales públicos y del tercer sector, interesados / as en la mejora de la gestión de la diversidad social por los servicios policiales y las administraciones con competencia en materia de seguridad pública","este seminario está organizado por la plataforma por la gestión policial de la diversidad, se dirige a la multiplicidad de profesionales públicos y del tercer sector, interesados/as en la mejora de la gestión de la diversidad social por los servicios policiales y las administraciones con competencia en materia de seguridad pública",[Both],estar
"a lo largo de dos días, serán presentes las entidades que representante a los diferentes colectivos que componen las sociedades diversas, como el de personas migrantes, personas con discacapacidad y personas lgtb","a lo largo de dos días, estarán presentes las entidades que representante a los diferentes colectivos que componen las sociedades diversas, como el de personas migrantes, personas con discacapacidad y personas lgtb",['Estar'],estar
la accesibilidad y los apoyos tienen que ser en la comunidad,la accesibilidad y los apoyos tienen que estar en la comunidad,['Estar'],estar
"en ese sentido el cambio de actitudes tiene que producirse también en nuestras propias entidades y hay dos proyectos en los que somos trabajando- empleo personalizado y emprendimiento con apoyo- que van en esta línea, y de los que podríamos hablar en otro momento","en ese sentido el cambio de actitudes tiene que producirse también en nuestras propias entidades y hay dos proyectos en los que estamos trabajando- empleo personalizado y emprendimiento con apoyo- que van en esta línea, y de los que podríamos hablar en otro momento",['Estar'],estar
"en esta entrevista, en la que lópez ha sido acompañado por enrique galván, director de la confederación, el máximo responsable de plena inclusión ha trasladado a la representante del gobierno de pedro sánchez las principales reivindicaciones de miles de familias que tienen a su cargo a personas con discapacidad intelectual","en esta entrevista, en la que lópez ha estado acompañado por enrique galván, director de la confederación, el máximo responsable de plena inclusión ha trasladado a la representante del gobierno de pedro sánchez las principales reivindicaciones de miles de familias que tienen a su cargo a personas con discapacidad intelectual",[Both],estar
"el presidente de plena inclusión ha documentado sus peticiones en un amplio y riguroso estudio, realizado en 2018 por el reconocido equipo de investigación de josé manuel fresno ( quien también ha sido presente en la entrevista ), sobre prestaciones económicas a personas con discapacidad en españa","el presidente de plena inclusión ha documentado sus peticiones en un amplio y riguroso estudio, realizado en 2018 por el reconocido equipo de investigación de josé manuel fresno (quien también ha estado presente en la entrevista), sobre prestaciones económicas a personas con discapacidad en españa",['Ser'],estar
